timestamp,event_type,value
1745418784.8162704,tick,"{'v1': 136, 'v2': 272, 'v3': 408}"
1745418784.8162737,tick,"{'v1': 137, 'v2': 274, 'v3': 411}"
1745418784.8162844,tick,"{'v1': 138, 'v2': 276, 'v3': 414}"
1745418784.8162885,tick,"{'v1': 139, 'v2': 278, 'v3': 417}"
1745418784.8163052,tick,"{'v1': 140, 'v2': 280, 'v3': 420}"
1745418784.8163087,tick,"{'v1': 141, 'v2': 282, 'v3': 423}"
1745418784.816312,tick,"{'v1': 142, 'v2': 284, 'v3': 426}"
1745418784.8163154,tick,"{'v1': 143, 'v2': 286, 'v3': 429}"
1745418784.816319,tick,"{'v1': 144, 'v2': 288, 'v3': 432}"
1745418784.8163223,tick,"{'v1': 145, 'v2': 290, 'v3': 435}"
1745418784.8163257,tick,"{'v1': 146, 'v2': 292, 'v3': 438}"
1745418784.816329,tick,"{'v1': 147, 'v2': 294, 'v3': 441}"
1745418784.8163323,tick,"{'v1': 148, 'v2': 296, 'v3': 444}"
1745418784.8163357,tick,"{'v1': 149, 'v2': 298, 'v3': 447}"
1745418784.8163393,tick,"{'v1': 150, 'v2': 300, 'v3': 450}"
1745418784.8163424,tick,"{'v1': 151, 'v2': 302, 'v3': 453}"
1745418784.816346,tick,"{'v1': 152, 'v2': 304, 'v3': 456}"
1745418784.8163493,tick,"{'v1': 153, 'v2': 306, 'v3': 459}"
1745418784.8163526,tick,"{'v1': 154, 'v2': 308, 'v3': 462}"
1745418784.816356,tick,"{'v1': 155, 'v2': 310, 'v3': 465}"
1745418784.8163588,tick,"{'v1': 156, 'v2': 312, 'v3': 468}"
1745418784.8163621,tick,"{'v1': 157, 'v2': 314, 'v3': 471}"
1745418784.8163657,tick,"{'v1': 158, 'v2': 316, 'v3': 474}"
1745418784.816369,tick,"{'v1': 159, 'v2': 318, 'v3': 477}"
1745418784.8163724,tick,"{'v1': 160, 'v2': 320, 'v3': 480}"
1745418784.8163757,tick,"{'v1': 161, 'v2': 322, 'v3': 483}"
1745418784.816379,tick,"{'v1': 162, 'v2': 324, 'v3': 486}"
1745418784.8163824,tick,"{'v1': 163, 'v2': 326, 'v3': 489}"
1745418784.8163857,tick,"{'v1': 164, 'v2': 328, 'v3': 492}"
1745418784.816389,tick,"{'v1': 165, 'v2': 330, 'v3': 495}"
1745418784.8163924,tick,"{'v1': 166, 'v2': 332, 'v3': 498}"
1745418784.8163958,tick,"{'v1': 167, 'v2': 334, 'v3': 501}"
1745418784.816399,tick,"{'v1': 168, 'v2': 336, 'v3': 504}"
1745418784.8164024,tick,"{'v1': 169, 'v2': 338, 'v3': 507}"
1745418784.8164058,tick,"{'v1': 170, 'v2': 340, 'v3': 510}"
1745418784.816409,tick,"{'v1': 171, 'v2': 342, 'v3': 513}"
1745418784.8164124,tick,"{'v1': 172, 'v2': 344, 'v3': 516}"
1745418784.8164158,tick,"{'v1': 173, 'v2': 346, 'v3': 519}"
1745418784.8164191,tick,"{'v1': 174, 'v2': 348, 'v3': 522}"
1745418784.8164225,tick,"{'v1': 175, 'v2': 350, 'v3': 525}"
1745418784.8164258,tick,"{'v1': 176, 'v2': 352, 'v3': 528}"
1745418784.8164291,tick,"{'v1': 177, 'v2': 354, 'v3': 531}"
1745418784.8164327,tick,"{'v1': 178, 'v2': 356, 'v3': 534}"
1745418784.816436,tick,"{'v1': 179, 'v2': 358, 'v3': 537}"
1745418784.8164394,tick,"{'v1': 180, 'v2': 360, 'v3': 540}"
1745418784.8164427,tick,"{'v1': 181, 'v2': 362, 'v3': 543}"
1745418784.816446,tick,"{'v1': 182, 'v2': 364, 'v3': 546}"
1745418784.8164492,tick,"{'v1': 183, 'v2': 366, 'v3': 549}"
1745418784.8164525,tick,"{'v1': 184, 'v2': 368, 'v3': 552}"
1745418784.8164556,tick,"{'v1': 185, 'v2': 370, 'v3': 555}"
1745418784.816459,tick,"{'v1': 186, 'v2': 372, 'v3': 558}"
1745418784.8164623,tick,"{'v1': 187, 'v2': 374, 'v3': 561}"
1745418784.8164656,tick,"{'v1': 188, 'v2': 376, 'v3': 564}"
1745418784.8164692,tick,"{'v1': 189, 'v2': 378, 'v3': 567}"
1745418784.8164725,tick,"{'v1': 190, 'v2': 380, 'v3': 570}"
1745418784.8164759,tick,"{'v1': 191, 'v2': 382, 'v3': 573}"
1745418784.8164792,tick,"{'v1': 192, 'v2': 384, 'v3': 576}"
1745418784.8164825,tick,"{'v1': 193, 'v2': 386, 'v3': 579}"
1745418784.816486,tick,"{'v1': 194, 'v2': 388, 'v3': 582}"
1745418784.8164892,tick,"{'v1': 195, 'v2': 390, 'v3': 585}"
1745418784.8164926,tick,"{'v1': 196, 'v2': 392, 'v3': 588}"
1745418784.816496,tick,"{'v1': 197, 'v2': 394, 'v3': 591}"
1745418784.8164992,tick,"{'v1': 198, 'v2': 396, 'v3': 594}"
1745418784.8165026,tick,"{'v1': 199, 'v2': 398, 'v3': 597}"
1745418784.816506,tick,"{'v1': 200, 'v2': 400, 'v3': 600}"
1745418784.8165092,tick,"{'v1': 201, 'v2': 402, 'v3': 603}"
1745418784.8165126,tick,"{'v1': 202, 'v2': 404, 'v3': 606}"
1745418784.816516,tick,"{'v1': 203, 'v2': 406, 'v3': 609}"
1745418784.8165193,tick,"{'v1': 204, 'v2': 408, 'v3': 612}"
1745418784.8165226,tick,"{'v1': 205, 'v2': 410, 'v3': 615}"
1745418784.816526,tick,"{'v1': 206, 'v2': 412, 'v3': 618}"
1745418784.816529,tick,"{'v1': 207, 'v2': 414, 'v3': 621}"
1745418784.8165324,tick,"{'v1': 208, 'v2': 416, 'v3': 624}"
1745418784.8165357,tick,"{'v1': 209, 'v2': 418, 'v3': 627}"
1745418784.816539,tick,"{'v1': 210, 'v2': 420, 'v3': 630}"
1745418784.8165424,tick,"{'v1': 211, 'v2': 422, 'v3': 633}"
1745418784.8165457,tick,"{'v1': 212, 'v2': 424, 'v3': 636}"
1745418784.816549,tick,"{'v1': 213, 'v2': 426, 'v3': 639}"
1745418784.8165524,tick,"{'v1': 214, 'v2': 428, 'v3': 642}"
1745418784.816556,tick,"{'v1': 215, 'v2': 430, 'v3': 645}"
1745418784.8165593,tick,"{'v1': 216, 'v2': 432, 'v3': 648}"
1745418784.8165624,tick,"{'v1': 217, 'v2': 434, 'v3': 651}"
1745418784.816566,tick,"{'v1': 218, 'v2': 436, 'v3': 654}"
1745418784.816569,tick,"{'v1': 219, 'v2': 438, 'v3': 657}"
1745418784.8165724,tick,"{'v1': 220, 'v2': 440, 'v3': 660}"
1745418784.8165758,tick,"{'v1': 221, 'v2': 442, 'v3': 663}"
1745418784.816579,tick,"{'v1': 222, 'v2': 444, 'v3': 666}"
1745418784.8165824,tick,"{'v1': 223, 'v2': 446, 'v3': 669}"
1745418784.8165858,tick,"{'v1': 224, 'v2': 448, 'v3': 672}"
1745418784.816589,tick,"{'v1': 225, 'v2': 450, 'v3': 675}"
1745418784.8165925,tick,"{'v1': 226, 'v2': 452, 'v3': 678}"
1745418784.8165958,tick,"{'v1': 227, 'v2': 454, 'v3': 681}"
1745418784.8165991,tick,"{'v1': 228, 'v2': 456, 'v3': 684}"
1745418784.8166025,tick,"{'v1': 229, 'v2': 458, 'v3': 687}"
1745418784.8166058,tick,"{'v1': 230, 'v2': 460, 'v3': 690}"
1745418784.816609,tick,"{'v1': 231, 'v2': 462, 'v3': 693}"
1745418784.8166122,tick,"{'v1': 232, 'v2': 464, 'v3': 696}"
1745418784.8166156,tick,"{'v1': 233, 'v2': 466, 'v3': 699}"
1745418784.816619,tick,"{'v1': 234, 'v2': 468, 'v3': 702}"
1745418784.8166223,tick,"{'v1': 235, 'v2': 470, 'v3': 705}"
1745418784.8166256,tick,"{'v1': 236, 'v2': 472, 'v3': 708}"
1745418784.816629,tick,"{'v1': 237, 'v2': 474, 'v3': 711}"
1745418784.8166323,tick,"{'v1': 238, 'v2': 476, 'v3': 714}"
1745418784.8166356,tick,"{'v1': 239, 'v2': 478, 'v3': 717}"
1745418784.816639,tick,"{'v1': 240, 'v2': 480, 'v3': 720}"
1745418784.8166423,tick,"{'v1': 241, 'v2': 482, 'v3': 723}"
1745418784.8166456,tick,"{'v1': 242, 'v2': 484, 'v3': 726}"
1745418784.816649,tick,"{'v1': 243, 'v2': 486, 'v3': 729}"
1745418784.8166523,tick,"{'v1': 244, 'v2': 488, 'v3': 732}"
1745418784.8166556,tick,"{'v1': 245, 'v2': 490, 'v3': 735}"
1745418784.8166592,tick,"{'v1': 246, 'v2': 492, 'v3': 738}"
1745418784.8166628,tick,"{'v1': 247, 'v2': 494, 'v3': 741}"
1745418784.8166661,tick,"{'v1': 248, 'v2': 496, 'v3': 744}"
1745418784.8166695,tick,"{'v1': 249, 'v2': 498, 'v3': 747}"
1745418784.8166728,tick,"{'v1': 250, 'v2': 500, 'v3': 750}"
1745418784.8166761,tick,"{'v1': 251, 'v2': 502, 'v3': 753}"
1745418784.8166795,tick,"{'v1': 252, 'v2': 504, 'v3': 756}"
1745418784.8166828,tick,"{'v1': 253, 'v2': 506, 'v3': 759}"
1745418784.8166862,tick,"{'v1': 254, 'v2': 508, 'v3': 762}"
1745418784.8166895,tick,"{'v1': 255, 'v2': 510, 'v3': 765}"
1745418784.8166928,tick,"{'v1': 256, 'v2': 512, 'v3': 768}"
1745418784.8166964,tick,"{'v1': 257, 'v2': 514, 'v3': 771}"
1745418784.8167002,tick,"{'v1': 258, 'v2': 516, 'v3': 774}"
1745418784.8167038,tick,"{'v1': 259, 'v2': 518, 'v3': 777}"
1745418784.8167071,tick,"{'v1': 260, 'v2': 520, 'v3': 780}"
1745418784.8167105,tick,"{'v1': 261, 'v2': 522, 'v3': 783}"
1745418784.8167138,tick,"{'v1': 262, 'v2': 524, 'v3': 786}"
1745418784.8167171,tick,"{'v1': 263, 'v2': 526, 'v3': 789}"
1745418784.8167207,tick,"{'v1': 264, 'v2': 528, 'v3': 792}"
1745418784.816724,tick,"{'v1': 265, 'v2': 530, 'v3': 795}"
1745418784.8167274,tick,"{'v1': 266, 'v2': 532, 'v3': 798}"
1745418784.816731,tick,"{'v1': 267, 'v2': 534, 'v3': 801}"
1745418784.8167343,tick,"{'v1': 268, 'v2': 536, 'v3': 804}"
1745418784.8167377,tick,"{'v1': 269, 'v2': 538, 'v3': 807}"
1745418784.8167412,tick,"{'v1': 270, 'v2': 540, 'v3': 810}"
1745418784.8167446,tick,"{'v1': 271, 'v2': 542, 'v3': 813}"
1745418784.8167477,tick,"{'v1': 272, 'v2': 544, 'v3': 816}"
1745418784.8167558,tick,"{'v1': 273, 'v2': 546, 'v3': 819}"
1745418784.8167596,tick,"{'v1': 274, 'v2': 548, 'v3': 822}"
1745418784.8167632,tick,"{'v1': 275, 'v2': 550, 'v3': 825}"
1745418784.8167665,tick,"{'v1': 276, 'v2': 552, 'v3': 828}"
1745418784.8167698,tick,"{'v1': 277, 'v2': 554, 'v3': 831}"
1745418784.8167734,tick,"{'v1': 278, 'v2': 556, 'v3': 834}"
1745418784.8167768,tick,"{'v1': 279, 'v2': 558, 'v3': 837}"
1745418784.81678,tick,"{'v1': 280, 'v2': 560, 'v3': 840}"
1745418784.8167837,tick,"{'v1': 281, 'v2': 562, 'v3': 843}"
1745418784.816787,tick,"{'v1': 282, 'v2': 564, 'v3': 846}"
1745418784.8167906,tick,"{'v1': 283, 'v2': 566, 'v3': 849}"
1745418784.816794,tick,"{'v1': 284, 'v2': 568, 'v3': 852}"
1745418784.8167973,tick,"{'v1': 285, 'v2': 570, 'v3': 855}"
1745418784.8168006,tick,"{'v1': 286, 'v2': 572, 'v3': 858}"
1745418784.816804,tick,"{'v1': 287, 'v2': 574, 'v3': 861}"
1745418784.8168075,tick,"{'v1': 288, 'v2': 576, 'v3': 864}"
1745418784.8168108,tick,"{'v1': 289, 'v2': 578, 'v3': 867}"
1745418784.8168142,tick,"{'v1': 290, 'v2': 580, 'v3': 870}"
1745418784.8168178,tick,"{'v1': 291, 'v2': 582, 'v3': 873}"
1745418784.8168213,tick,"{'v1': 292, 'v2': 584, 'v3': 876}"
1745418784.8168247,tick,"{'v1': 293, 'v2': 586, 'v3': 879}"
1745418784.816828,tick,"{'v1': 294, 'v2': 588, 'v3': 882}"
1745418784.8168314,tick,"{'v1': 295, 'v2': 590, 'v3': 885}"
1745418784.8168344,tick,"{'v1': 296, 'v2': 592, 'v3': 888}"
1745418784.8168378,tick,"{'v1': 297, 'v2': 594, 'v3': 891}"
1745418784.8168414,tick,"{'v1': 298, 'v2': 596, 'v3': 894}"
1745418784.8168445,tick,"{'v1': 299, 'v2': 598, 'v3': 897}"
1745418784.816848,tick,"{'v1': 300, 'v2': 600, 'v3': 900}"
1745418784.8168514,tick,"{'v1': 301, 'v2': 602, 'v3': 903}"
1745418784.8168547,tick,"{'v1': 302, 'v2': 604, 'v3': 906}"
1745418784.816858,tick,"{'v1': 303, 'v2': 606, 'v3': 909}"
1745418784.8168614,tick,"{'v1': 304, 'v2': 608, 'v3': 912}"
1745418784.8168647,tick,"{'v1': 305, 'v2': 610, 'v3': 915}"
1745418784.8168683,tick,"{'v1': 306, 'v2': 612, 'v3': 918}"
1745418784.8168716,tick,"{'v1': 307, 'v2': 614, 'v3': 921}"
1745418784.816875,tick,"{'v1': 308, 'v2': 616, 'v3': 924}"
1745418784.8168783,tick,"{'v1': 309, 'v2': 618, 'v3': 927}"
1745418784.8168817,tick,"{'v1': 310, 'v2': 620, 'v3': 930}"
1745418784.8168852,tick,"{'v1': 311, 'v2': 622, 'v3': 933}"
1745418784.8168886,tick,"{'v1': 312, 'v2': 624, 'v3': 936}"
1745418784.816892,tick,"{'v1': 313, 'v2': 626, 'v3': 939}"
1745418784.8168952,tick,"{'v1': 314, 'v2': 628, 'v3': 942}"
1745418784.8168988,tick,"{'v1': 315, 'v2': 630, 'v3': 945}"
1745418784.8169022,tick,"{'v1': 316, 'v2': 632, 'v3': 948}"
1745418784.8169055,tick,"{'v1': 317, 'v2': 634, 'v3': 951}"
1745418784.816909,tick,"{'v1': 318, 'v2': 636, 'v3': 954}"
1745418784.8169124,tick,"{'v1': 319, 'v2': 638, 'v3': 957}"
1745418784.8169158,tick,"{'v1': 320, 'v2': 640, 'v3': 960}"
1745418784.816919,tick,"{'v1': 321, 'v2': 642, 'v3': 963}"
1745418784.8169224,tick,"{'v1': 322, 'v2': 644, 'v3': 966}"
1745418784.8169258,tick,"{'v1': 323, 'v2': 646, 'v3': 969}"
1745418784.8169293,tick,"{'v1': 324, 'v2': 648, 'v3': 972}"
1745418784.8169327,tick,"{'v1': 325, 'v2': 650, 'v3': 975}"
1745418784.816936,tick,"{'v1': 326, 'v2': 652, 'v3': 978}"
1745418784.8169394,tick,"{'v1': 327, 'v2': 654, 'v3': 981}"
1745418784.8169427,tick,"{'v1': 328, 'v2': 656, 'v3': 984}"
1745418784.816946,tick,"{'v1': 329, 'v2': 658, 'v3': 987}"
1745418784.8169491,tick,"{'v1': 330, 'v2': 660, 'v3': 990}"
1745418784.816953,tick,"{'v1': 331, 'v2': 662, 'v3': 993}"
1745418784.816956,tick,"{'v1': 332, 'v2': 664, 'v3': 996}"
1745418784.8169594,tick,"{'v1': 333, 'v2': 666, 'v3': 999}"
1745418784.8169627,tick,"{'v1': 334, 'v2': 668, 'v3': 1002}"
1745418784.8169663,tick,"{'v1': 335, 'v2': 670, 'v3': 1005}"
1745418784.8169699,tick,"{'v1': 336, 'v2': 672, 'v3': 1008}"
1745418784.8169732,tick,"{'v1': 337, 'v2': 674, 'v3': 1011}"
1745418784.8169765,tick,"{'v1': 338, 'v2': 676, 'v3': 1014}"
1745418784.8169801,tick,"{'v1': 339, 'v2': 678, 'v3': 1017}"
1745418784.8169835,tick,"{'v1': 340, 'v2': 680, 'v3': 1020}"
1745418784.8169868,tick,"{'v1': 341, 'v2': 682, 'v3': 1023}"
1745418784.8169904,tick,"{'v1': 342, 'v2': 684, 'v3': 1026}"
1745418784.8169937,tick,"{'v1': 343, 'v2': 686, 'v3': 1029}"
1745418784.816997,tick,"{'v1': 344, 'v2': 688, 'v3': 1032}"
1745418784.8170004,tick,"{'v1': 345, 'v2': 690, 'v3': 1035}"
1745418784.817004,tick,"{'v1': 346, 'v2': 692, 'v3': 1038}"
1745418784.8170073,tick,"{'v1': 347, 'v2': 694, 'v3': 1041}"
1745418784.8170109,tick,"{'v1': 348, 'v2': 696, 'v3': 1044}"
1745418784.8170145,tick,"{'v1': 349, 'v2': 698, 'v3': 1047}"
1745418784.817018,tick,"{'v1': 350, 'v2': 700, 'v3': 1050}"
1745418784.8170214,tick,"{'v1': 351, 'v2': 702, 'v3': 1053}"
1745418784.817025,tick,"{'v1': 352, 'v2': 704, 'v3': 1056}"
1745418784.8170283,tick,"{'v1': 353, 'v2': 706, 'v3': 1059}"
1745418784.8170316,tick,"{'v1': 354, 'v2': 708, 'v3': 1062}"
1745418784.8170352,tick,"{'v1': 355, 'v2': 710, 'v3': 1065}"
1745418784.8170385,tick,"{'v1': 356, 'v2': 712, 'v3': 1068}"
1745418784.8170419,tick,"{'v1': 357, 'v2': 714, 'v3': 1071}"
1745418784.8170455,tick,"{'v1': 358, 'v2': 716, 'v3': 1074}"
